Step,Current Year,Household ID,Laborers in Household,Migrants from Household,Household Size,Total Income,Local Off-Farm Income,Household Remittances,GTGP and non-GTGP Land Income
1,2017,1,0,1,3,12480.0,0.0,0,12480.0
1,2017,2,4,1,6,2568.0,0.0,0,2568.0
1,2017,3,1,1,3,37392.0,2000.0,0,35392.0
1,2017,5,3,1,4,27060.0,0.0,0,27060.0
1,2017,6,2,0,4,44980.0,18000.0,0,26980.0
1,2017,8,3,1,5,39340.0,0.0,0,39340.0
1,2017,9,4,1,4,28250.0,11000.0,0,17250.0
1,2017,11,3,1,5,13380.0,0.0,3000,10380.0
1,2017,14,3,1,5,45940.0,33000.0,0,12940.0
1,2017,15,0,1,2,26454.0,0.0,0,26454.0
1,2017,16,5,0,5,14760.0,1500.0,0,13260.0
1,2017,17,3,1,4,17920.0,0.0,0.0,17920.0
1,2017,18,1,1,2,23000.0,12000.0,5000,6000.0
1,2017,19,0,0,1,23010.0,0.0,0,23010.0
1,2017,22,1,1,5,43520.0,12000.0,0,31520.0
1,2017,25,0,1,4,15288.0,0.0,0,15288.0
1,2017,27,3,1,7,41760.0,0.0,0,41760.0
1,2017,30,0,0,2,22000.0,0.0,0,22000.0
1,2017,31,1,1,3,12480.0,0.0,3000,9480.0
1,2017,32,0,1,4,19410.0,0.0,0,19410.0
1,2017,34,1,1,1,32040.0,0.0,19200,12840.0
1,2017,35,2,1,3,8160.0,0.0,0,8160.0
1,2017,36,2,1,5,17030.0,0.0,2000,15030.0
1,2017,39,2,1,3,6786.0,0.0,0,6786.0
1,2017,40,1,0,1,4954.0,0.0,0,4954.0
1,2017,41,4,1,5,26856.260120938772,4000.0,14076.260120938772,8780.0
1,2017,42,0,1,1,14128.0,0.0,1000,13128.0
1,2017,43,4,1,5,15540.0,0.0,0,15540.0
1,2017,45,5,1,6,14090.0,0.0,2000,12090.0
1,2017,46,2,1,5,28930.0,20000.0,0,8930.0
1,2017,47,1,1,3,13980.0,0.0,10000,3980.0
1,2017,48,5,1,6,17820.0,0.0,0,17820.0
1,2017,49,0,1,2,5320.0,0.0,0,5320.0
1,2017,51,2,1,3,1909.2,0.0,0,1909.2
1,2017,53,2,1,3,37460.0,0.0,2000,35460.0
1,2017,54,2,1,2,17796.0,0.0,12000,5796.0
1,2017,55,2,1,2,11558.0,0.0,0,11558.0
1,2017,57,3,1,3,20520.0,20000.0,0,520.0
1,2017,63,1,1,3,25800.0,0.0,9000,16800.0
1,2017,64,0,1,2,6556.0,0.0,0,6556.0
1,2017,71,0,1,2,31880.0,0.0,0,31880.0
1,2017,72,0,1,2,10382.0,0.0,2000,8382.0
1,2017,79,3,1,4,2320.0,0.0,0,2320.0
1,2017,81,1,1,2,18540.0,0.0,0,18540.0
1,2017,91,2,1,3,9260.0,0.0,0.0,9260.0
1,2017,101,1,1,2,12040.0,0.0,0,12040.0
1,2017,102,2,1,3,21474.0,15000.0,0,6474.0
1,2017,103,2,0,2,16710.0,3000.0,0.0,13710.0
1,2017,104,1,1,1,9100.0,0.0,0,9100.0
1,2017,108,0,1,2,24160.0,0.0,0,24160.0
1,2017,109,0,1,1,17400.0,0.0,0,17400.0
1,2017,118,1,1,3,25278.0,0.0,0,25278.0
1,2017,120,1,1,2,20507.6,0.0,0,20507.6
1,2017,121,3,1,3,21930.0,3600.0,0,18330.0
1,2017,123,1,1,3,12420.0,0.0,0,12420.0
1,2017,128,1,1,3,15760.0,0.0,0,15760.0
1,2017,129,2,1,2,10150.0,0.0,0,10150.0
1,2017,132,0,1,1,20540.0,0.0,1000,19540.0
1,2017,133,2,1,4,26380.0,0.0,15000,11380.0
1,2017,134,5,1,8,15314.536308898385,0.0,10878.136308898389,4436.4
1,2017,135,1,1,2,17240.0,0.0,0,17240.0
1,2017,136,0,1,4,9854.400000000001,0.0,0,9854.400000000001
1,2017,137,2,1,5,11880.0,0.0,0,11880.0
1,2017,138,2,0,2,5616.000000000001,0.0,0.0,5616.0
1,2017,139,2,1,2,3832.0,0.0,0,3832.0
1,2017,140,2,1,3,13139.200000000004,7800.0,0,5339.2
1,2017,141,2,1,4,7320.0,0.0,0,7320.0
1,2017,142,2,1,3,11592.0,7200.0,0,4392.0
1,2017,143,2,0,3,1488.0,0.0,0.0,1488.0
1,2017,144,2,1,4,15000.0,0.0,0,15000.0
1,2017,145,0,1,2,13840.0,0.0,0,13840.0
1,2017,146,0,0,2,1020.0,0.0,0.0,1020.0
1,2017,148,3,1,3,24620.0,10400.0,5000.0,9220.0
1,2017,149,1,0,1,20440.0,7000.0,0,13440.0
1,2017,150,1,1,1,56856.0,48000.0,0,8856.0
1,2017,151,2,1,5,89120.0,0.0,0,89120.0
1,2017,153,0,1,3,39640.0,0.0,2000,37640.0
1,2017,154,1,0,3,47280.0,28000.0,0.0,19280.0
1,2017,155,1,1,4,27720.0,0.0,15000,12720.0
1,2017,157,0,1,1,3440.0,0.0,0,3440.0
1,2017,159,1,1,2,17008.0,0.0,0,17008.0
1,2017,160,2,1,2,31500.0,26400.0,0,5100.0
1,2017,161,4,1,5,11160.0,2000.0,0,9160.0
1,2017,163,2,1,3,23440.0,10000.0,10000,3440.0
1,2017,165,2,1,5,31234.0,30000.0,0,1234.0
1,2017,166,1,1,2,10620.0,0.0,0.0,10620.0
1,2017,167,2,1,3,8408.0,0.0,5000,3408.0
1,2017,168,2,1,3,1908.0,0.0,0,1908.0
1,2017,169,3,1,6,35786.0,0.0,20000,15786.0
2,2018,1,0,1,2,12480.0,0.0,0,12480.0
2,2018,2,4,1,6,2568.0,0.0,0,2568.0
2,2018,3,1,1,3,37392.0,2000.0,0,35392.0
2,2018,5,3,1,4,27060.0,0.0,0,27060.0
2,2018,6,2,0,4,44980.0,18000.0,0,26980.0
2,2018,8,3,1,5,39340.0,0.0,0,39340.0
2,2018,9,4,1,4,28250.0,11000.0,0,17250.0
2,2018,11,3,1,5,13380.0,0.0,3000,10380.0
2,2018,14,3,1,6,45940.0,33000.0,0,12940.0
2,2018,16,5,0,5,14760.0,1500.0,0,13260.0
2,2018,17,3,1,4,17920.0,0.0,0.0,17920.0
2,2018,18,1,1,2,23000.0,12000.0,5000,6000.0
2,2018,19,0,0,1,23010.0,0.0,0,23010.0
2,2018,22,1,1,5,43520.0,12000.0,0,31520.0
2,2018,25,0,1,4,15288.0,0.0,0,15288.0
2,2018,27,3,1,7,41760.0,0.0,0,41760.0
2,2018,30,0,0,2,22000.0,0.0,0,22000.0
2,2018,31,1,1,3,12480.0,0.0,3000,9480.0
2,2018,32,0,1,4,19410.0,0.0,0,19410.0
2,2018,34,1,1,1,32040.0,0.0,19200,12840.0
2,2018,35,2,1,3,8160.0,0.0,0,8160.0
2,2018,36,2,1,5,17030.0,0.0,2000,15030.0
2,2018,39,2,1,3,6786.0,0.0,0,6786.0
2,2018,40,1,0,1,4954.0,0.0,0,4954.0
2,2018,41,4,1,5,35079.31282459658,4000.0,22299.312824596575,8780.0
2,2018,43,4,1,5,15540.0,0.0,0,15540.0
2,2018,45,5,1,6,14090.0,0.0,2000,12090.0
2,2018,46,2,1,5,28930.0,20000.0,0,8930.0
2,2018,47,1,1,3,13980.0,0.0,10000,3980.0
2,2018,48,5,1,6,17820.0,0.0,0,17820.0
2,2018,51,2,1,3,1909.2,0.0,0,1909.2
2,2018,53,2,1,3,37460.0,0.0,2000,35460.0
2,2018,54,2,1,2,17796.0,0.0,12000,5796.0
2,2018,55,2,1,2,11558.0,0.0,0,11558.0
2,2018,57,3,1,3,20520.0,20000.0,0,520.0
2,2018,63,1,1,3,25800.0,0.0,9000,16800.0
2,2018,64,0,1,2,6556.0,0.0,0,6556.0
2,2018,71,0,1,2,31880.0,0.0,0,31880.0
2,2018,72,0,1,2,10382.0,0.0,2000,8382.0
2,2018,79,3,1,4,2320.0,0.0,0,2320.0
2,2018,81,1,1,2,18540.0,0.0,0,18540.0
2,2018,85,3,0,3,5080.0,0.0,0.0,5080.0
2,2018,91,2,1,3,9260.0,0.0,0.0,9260.0
2,2018,101,1,1,2,12040.0,0.0,0,12040.0
2,2018,102,2,1,3,21474.0,15000.0,0,6474.0
2,2018,104,1,1,1,9100.0,0.0,0,9100.0
2,2018,108,0,1,2,24160.0,0.0,0,24160.0
2,2018,109,0,1,1,17400.0,0.0,0,17400.0
2,2018,118,1,1,3,25278.0,0.0,0,25278.0
2,2018,120,1,1,2,20507.6,0.0,0,20507.6
2,2018,121,3,1,3,21930.0,3600.0,0,18330.0
2,2018,123,1,1,3,12420.0,0.0,0,12420.0
2,2018,128,1,1,3,15760.0,0.0,0,15760.0
2,2018,129,2,1,2,10150.0,0.0,0,10150.0
2,2018,132,0,1,1,20540.0,0.0,1000,19540.0
2,2018,133,2,1,4,26380.0,0.0,15000,11380.0
2,2018,134,5,1,8,15314.536308898385,0.0,10878.136308898389,4436.4
2,2018,135,1,1,2,17240.0,0.0,0,17240.0
2,2018,136,0,1,4,9854.400000000001,0.0,0,9854.400000000001
2,2018,137,2,1,5,11880.0,0.0,0,11880.0
2,2018,138,3,0,2,5616.000000000003,0.0,0.0,5616.0
2,2018,139,2,1,2,3832.0,0.0,0,3832.0
2,2018,140,2,1,3,13139.200000000004,7800.0,0,5339.2
2,2018,141,2,1,4,7320.0,0.0,0,7320.0
2,2018,142,2,1,3,11592.0,7200.0,0,4392.0
2,2018,143,2,0,3,1488.0,0.0,0.0,1488.0
2,2018,144,2,1,4,15000.0,0.0,0,15000.0
2,2018,145,0,1,2,13840.0,0.0,0,13840.0
2,2018,146,0,0,2,1020.0,0.0,0.0,1020.0
2,2018,148,3,1,3,24620.0,10400.0,5000.0,9220.0
2,2018,149,1,0,1,20440.0,7000.0,0,13440.0
2,2018,150,1,1,1,56856.0,48000.0,0,8856.0
2,2018,151,2,1,5,89120.0,0.0,0,89120.0
2,2018,153,0,1,3,39640.0,0.0,2000,37640.0
2,2018,154,1,0,3,47280.0,28000.0,0.0,19280.0
2,2018,155,1,1,4,27720.0,0.0,15000,12720.0
2,2018,157,0,1,1,3440.0,0.0,0,3440.0
2,2018,159,1,1,2,17008.0,0.0,0,17008.0
2,2018,160,2,1,2,31500.0,26400.0,0,5100.0
2,2018,161,4,1,5,11160.0,2000.0,0,9160.0
2,2018,163,2,1,3,23440.0,10000.0,10000,3440.0
2,2018,165,2,1,5,31234.0,30000.0,0,1234.0
2,2018,166,1,1,2,10620.0,0.0,0.0,10620.0
2,2018,167,2,1,3,8408.0,0.0,5000,3408.0
2,2018,168,2,1,3,1908.0,0.0,0,1908.0
2,2018,169,3,1,6,35786.0,0.0,20000,15786.0
3,2019,1,0,1,2,12480.0,0.0,0,12480.0
3,2019,2,4,1,6,2568.0,0.0,0,2568.0
3,2019,3,1,1,3,37392.0,2000.0,0,35392.0
3,2019,5,3,1,4,27060.0,0.0,0,27060.0
3,2019,6,2,0,4,44980.0,18000.0,0,26980.0
3,2019,8,3,1,5,39340.0,0.0,0,39340.0
3,2019,9,4,1,4,28250.0,11000.0,0,17250.0
3,2019,11,3,1,5,13380.0,0.0,3000,10380.0
3,2019,14,3,1,7,45940.0,33000.0,0,12940.0
3,2019,16,5,0,6,14760.0,1500.0,0,13260.0
3,2019,17,3,1,4,17920.0,0.0,0.0,17920.0
3,2019,18,1,1,2,23000.0,12000.0,5000,6000.0
3,2019,19,0,0,1,23010.0,0.0,0,23010.0
3,2019,22,1,1,5,43520.0,12000.0,0,31520.0
3,2019,25,0,1,4,15288.0,0.0,0,15288.0
3,2019,27,3,1,7,41760.0,0.0,0,41760.0
3,2019,30,0,1,1,33354.4395411949,0.0,11354.4395411949,22000.0
3,2019,31,1,1,3,12480.0,0.0,3000,9480.0
3,2019,32,0,1,4,19410.0,0.0,0,19410.0
3,2019,34,1,1,1,32040.0,0.0,19200,12840.0
3,2019,35,2,1,3,8160.0,0.0,0,8160.0
3,2019,36,2,1,5,17030.0,0.0,2000,15030.0
3,2019,39,2,1,3,6786.0,0.0,0,6786.0
3,2019,40,1,0,1,4954.0,0.0,0,4954.0
3,2019,41,4,1,5,35079.31282459658,4000.0,22299.312824596575,8780.0
3,2019,43,4,1,4,15540.0,0.0,0,15540.0
3,2019,45,5,1,6,14090.0,0.0,2000,12090.0
3,2019,46,2,1,5,28930.0,20000.0,0,8930.0
3,2019,47,1,1,3,13980.0,0.0,10000,3980.0
3,2019,48,5,1,6,17820.0,0.0,0,17820.0
3,2019,51,2,1,3,1909.2,0.0,0,1909.2
3,2019,53,2,1,3,37460.0,0.0,2000,35460.0
3,2019,54,2,1,2,17796.0,0.0,12000,5796.0
3,2019,55,2,1,2,11558.0,0.0,0,11558.0
3,2019,57,3,1,3,20520.0,20000.0,0,520.0
3,2019,63,1,1,3,25800.0,0.0,9000,16800.0
3,2019,64,0,1,2,6556.0,0.0,0,6556.0
3,2019,71,0,1,2,31880.0,0.0,0,31880.0
3,2019,72,0,1,2,10382.0,0.0,2000,8382.0
3,2019,79,3,1,4,2320.0,0.0,0,2320.0
3,2019,81,1,1,2,18540.0,0.0,0,18540.0
3,2019,85,2,1,2,5080.0,0.0,0.0,5080.0
3,2019,91,2,1,3,9260.0,0.0,0.0,9260.0
3,2019,101,1,1,2,12040.0,0.0,0,12040.0
3,2019,102,2,1,3,21474.0,15000.0,0,6474.0
3,2019,103,2,0,2,16710.0,3000.0,0.0,13710.0
3,2019,104,1,1,1,9100.0,0.0,0,9100.0
3,2019,109,0,1,1,17400.0,0.0,0,17400.0
3,2019,118,1,1,3,25278.0,0.0,0,25278.0
3,2019,120,1,1,2,20507.6,0.0,0,20507.6
3,2019,121,3,1,3,21930.0,3600.0,0,18330.0
3,2019,123,1,1,3,12420.0,0.0,0,12420.0
3,2019,128,1,1,3,15760.0,0.0,0,15760.0
3,2019,129,2,1,2,10150.0,0.0,0,10150.0
3,2019,132,0,1,1,20540.0,0.0,1000,19540.0
3,2019,133,2,1,4,26380.0,0.0,15000,11380.0
3,2019,134,5,1,8,15314.536308898385,0.0,10878.136308898389,4436.4
3,2019,135,1,1,2,17240.0,0.0,0,17240.0
3,2019,136,0,1,4,9854.400000000001,0.0,0,9854.400000000001
3,2019,137,2,1,5,11880.0,0.0,0,11880.0
3,2019,138,2,1,1,31815.711736401747,0.0,26199.71173640174,5616.0
3,2019,139,2,1,2,3832.0,0.0,0,3832.0
3,2019,140,2,1,3,13139.200000000004,7800.0,0,5339.2
3,2019,141,2,1,4,7320.0,0.0,0,7320.0
3,2019,142,2,1,3,11592.0,7200.0,0,4392.0
3,2019,143,4,1,2,5075.2612215328445,0.0,3587.261221532845,1488.0
3,2019,144,2,1,4,15000.0,0.0,0,15000.0
3,2019,145,0,1,2,13840.0,0.0,0,13840.0
3,2019,146,0,0,2,1020.0,0.0,0.0,1020.0
3,2019,148,3,1,4,24620.0,10400.0,5000.0,9220.0
3,2019,149,1,0,1,20440.0,7000.0,0,13440.0
3,2019,150,1,1,2,56856.0,48000.0,0,8856.0
3,2019,151,2,1,5,89120.0,0.0,0,89120.0
3,2019,153,0,1,3,39640.0,0.0,2000,37640.0
3,2019,154,1,0,3,47280.0,28000.0,0.0,19280.0
3,2019,155,1,1,4,27720.0,0.0,15000,12720.0
3,2019,157,0,1,1,3440.0,0.0,0,3440.0
3,2019,159,1,1,2,17008.0,0.0,0,17008.0
3,2019,160,2,1,2,31500.0,26400.0,0,5100.0
3,2019,161,4,1,5,11160.0,2000.0,0,9160.0
3,2019,163,2,1,3,23440.0,10000.0,10000,3440.0
